CollegeName,CollegeCode,CourseCode,Category,CutoffRank,Location,Year,Round
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,CS Computers,GMK,3599,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,CS Computers,GMR,4590,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,CS Computers,SCG,16022,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,CS Computers,SCK,17797,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,CS Computers,SCR,18002,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,CS Computers,STG,14085,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,CS Computers,STK,16438,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,CS Computers,STR,20958,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,1G,15177,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,1R,18548,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,2AG,9878,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,2AK,15407,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,2AR,11817,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,2BG,14932,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,3AG,7229,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,3AK,19840,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,3AR,11206,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EC Electronics,3BG,7649,Bangalore,2023,Round 1
