institute,institute_code,course,category,cutoff_rank,year,round
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,1G,9507,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,1K,18087,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,2AG,6191,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,2AR,9519,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,2BG,9240,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,3AG,4810,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,3BG,5160,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,GM,4257,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,GMK,7979,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,GMR,6198,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,SCG,26148,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,SCR,33645,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,STG,24190,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,AI Artificial Intelligence,STR,28919,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,1G,87651,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,1R,96284,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,2AG,77746,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,2AK,83360,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,2AR,96248,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,2BG,80402,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,2BR,105256,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,3AG,61486,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,3AR,80200,2023,R1
University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),E001,CE Civil,3BG,67191,2023,R1
